Group,Purity Fraction,Purity Retention,NMI
human_combined_TCRDist,0.4286,0.1124,0.407
human alpha_TCRDist,0.1951,0.0439,0.4265
human beta_TCRDist,0.3966,0.0803,0.3706
mouse combined_TCRDist,0.2778,0.0421,0.2628
mouse alpha_TCRDist,0.2258,0.0632,0.4113
mouse beta_TCRDist,0.2632,0.0388,0.4109
human combined_Levenshtein,0.5208,0.1162,0.3655
human alpha_Levenshtein,0.1373,0.0514,0.45
human beta_Levenshtein,0.0377,0.0171,0.5282
mouse combined_Levenshtein,0.6176,0.204,0.4941
mouse alpha_Levenshtein,0.5122,0.184,0.4444
mouse beta_Levenshtein,0.1,0.0277,0.4761
